ID_GodotObject,tags
2000120059197,"Coronavirus,Tagesüberblick,Ampelschaltung,Gastronomie,Sozialkontakt,Salzburg,Eisenstadt,Österreich,Wien,Dänemark"
2000120089418,"Corona-Pandemie,Wiener Ballsaison,Wiener Opernball,Teststraße,Tagesüberblick,Neuinfektion,Coronavirus,Coronamaßnahme,Maskenpflicht,Virus,Wien,Österreich,Madrid,Ernst-Happel-Stadion,Michael Ludwig,Christine Aschbacher"
2000122402488,"Maskenpflicht,Silvesterfeiern,Tagesüberblick,Christtag,Ausgangsbeschränkung,Arbeitsplatz,Coronavirus,Haushalt,Todesfall,COVID-19,Wien,Österreich"
2000120100164,"Sperrstunde,Maskenpflicht,Regelpaket,COVID-19,Coronavirus,Gastronomie,ÖVP,Rudolf Anschober,Sebastian Kurz,Karl Nehammer"
2000122440975,"Testbeteiligung,Tagesüberblick,Massentest,Anreizsystem,Virus,Todesfall,Coronavirus,Neuinfektion,Impfung,Wien,Österreich,Deutschland,USA"
2000122442386,"Weihnachten,Coronavirus,Werktag,Virus,Massentest,Apotheke,Wien,Tirol,Vorarlberg,Kärnten,Salzburg,Niederösterreich,Steiermark,Oberösterreich,Burgenland,Ernst-Happel-Stadion,ÖVP,Bundesregierung,Sebastian Kurz,Werner Kogler"
2000120115898,"Wiener Ballsaison,Corona-Pandemie,Coronavirus,Neuinfektion,Fallzahl,Tagesüberblick,Höchstwert,Wien,Österreich,Ernst-Happel-Stadion,Rudolf Anschober,Michael Ludwig,Christine Aschbacher"
2000120124979,"Coronavirus,Intensivstation,SARS-CoV-2,COVID-19,Österreich,Wien,BMG,ÖVP,Polizei,Sebastian Kurz"
2000120132000,"Veranstaltungsbegrenzung,Schutzmaßnahme,COVID-19,Maskenpflicht,Verschärfung,SARS-CoV-2,Coronavirus,Österreich,BMG,Job Im"
2000120135831,"COVID-19,SARS-CoV-2,Freizeitaktivität,Coronavirus,Gesundheitsverbund,Wien,Österreich,Burgenland,Kärnten,Kroatien,Türkei,EMS,Klinik Hietzing,Rudolf Anschober"
2000120137622,"Neuinfektion,Arztpraxis,Coronavirus,COVID-19,Corona-Krise,Wien,Österreich,Niederösterreich,Tschechien,Reichenau an der Rax,München,ÖVP,ČTK,Roman Prymula,Karl Nehammer,Susanne Raab,Irmgard Lechner,Miloš Zeman,Andrej Babiš"
2000127383081,"Corona-Pandemie,Pandemie,Infektionszahl,Eva Schernhammer"
2000122479006,"Maskenpflicht,Coronainformation,Initiative,COVID-19,Coronavirus,Maskentrage,Musterklage,Obersteiermark,Michaela Hämmerle"
2000118224502,"Coronavirus,COVID-19,Infizierte,Pandemie,Infektionszahl,Virus,Todesfall,Schutzimpfung,Corona-Krise,Viruserkrankung,Rekordanstieg,Schlachthof,China,Österreich,Brasilien,Deutschland,Frankreich,Südamerika,USA,Mexiko,Südkorea,Nordrhein-Westfalen,Slowenien,Wien,EU,Weltgesundheitsorganisation,RKI,WHO,Harvard,Twitter,ÖVP,Li Keqiang,Rudolf Anschober,Emmanuel Macron,Alexander Schallenberg,Ursula von der Leyen,Charles Michel,Xi Jinping,Eric Feigl-Ding,Hans-Peter Hutter,Michaela Pfadenhauer"
2000122526777,"Impfstart,Impfung,Tagesüberblick,Coronavirus,Virus,Todesfall,Österreich,Wien,Deutschland,Niederösterreich,BioNTech,ÖVP,Pfizer,SPÖ,Sebastian Kurz"
2000127489680,"Maskenpflicht,Sperrstunde,Gastronomie,Begrenzung,Öffnungsschritt,Reisebüro,Österreich,Öffi,ÖVP,Elisabeth Köstinger,Sebastian Kurz,Andrea Mayer"
2000120217222,"COVID-19,Coronavirus,Reisewarnung,Wien,Prag,Österreich,Frankreich,Tirol,Côte d'Azur,Andorra,Argentinien,Bahrain,Kuwait,Costa Rica,Malediven,Portugal,Lissabon,Ischgl,Deutschland,Vorarlberg,ÖVP,AA,Günther Platter,Michael Ludwig,Peter Kolba,Margarete Schramböck"
2000122568683,"Weihnachten,Coronavirus,Tagesüberblick,Todesfall,Impfung,Regierungsplan,Österreich,Wien,Frankreich,EU,ÖVP,BioNTech,Pfizer,Ursula von der Leyen,Sebastian Kurz,Emmanuel Macron"
2000125219409,"Ostern,Selbsttest,Zuwachs,COVID-19,Schnelltest,Infektionsgeschehen,Osterferien,Wien,Österreich,Niederösterreich,Oberösterreich,Steiermark,Salzburg,Kärnten,Burgenland,Tirol,Vorarlberg,APA,BMBF,ÖVP,Ö1,Gerald Gartlehner,Heinz Faßmann,Pamela Rendi-Wagner,Niki Popper"
2000127634712,"Coronavirus,Warnsignal,Ausbruch,Virus,Auslandsreise,Israel,Flughafen Ben Gurion,Indien,Naftali Bennett"
2000120438753,"Maskenpflicht,Fahrzeug,COVID-19,SARS-CoV-2,Wien,Erdberg,Bundesregierung,Medizinische Universität Wien,Hans-Peter Hutter"
2000125301517,"Ostern,Gründonnerstag,Weihnachten,Zugangstest,Tagesüberblick,Fernunterricht,Ausgangsbeschränkung,Osterdienstag,Coronavirus,Ostregion,Pendler,Wien,Österreich,Deutschland,Niederösterreich,Burgenland,Ostösterreich,Schwaz,Tirol,Neunkirchen,Angela Merkel"
2000114365338,"Virus,Verdachtsfall,Informationspolitik,Rückholaktion,Transport,Lebensmittel,Todesfall,Coronavirus,China,Österreich,Wuhan,Peking,Shanghai,Großbritannien,Wien,Yokohama,Brighton,Suzhou,Kyushu,Barcelona,AT&S,BMG,Airbnb,Amazon,Global Times,BBC,Weltgesundheitsorganisation,WHO,Daimler,Ford Motor,VW,Nissan,Bernhard Benka,Ma Jun,Wu Fan,Wolfgang Chmelir,Diamond Princess"
2000120477720,"Tagesüberblick,Coronavirus,Maskenpflicht,COVID-19,Wahlkampf,Digitalisierung,Italien,Wien,Österreich,Paris,Steyr,Tschechien,Brooklyn,ÖVP,EU,Bundesregierung,Twitter,Donald Trump,Sebastian Kurz,Werner Kogler,Ursula von der Leyen,Margarete Schramböck"
2000120510206,"Infektionszahl,Sperrstunde,Neuinfektion,Tagesüberblick,Gastronomie,Coronavirus,Österreich,Berlin,Rumänien,Wien,ÖVP,Bundesregierung,Leonore Gewessler,Herrmann Schützenhöfer,Hermann Schützenhöfer,Sebastian Kurz"
2000127830758,"Pandemiebekämpfung,Mückstein,Impfung,Pandemie,Pressefoyer,Coronavirus,Öffnungsschritt,Österreich,ÖVP,Sebastian Kurz,Werner Kogler"
2000120816680,"Tennengau,Maskenpflicht,COVID-19,Verschärfung,Veranstaltungsverbot,Coronavirus,Salzburg,Slowenien,Kuchl,Wien,Österreich,Tirol,Vorarlberg,BMG,BMBF,Donald Trump"
2000127874486,"Urlaubsreise,Griechenland,Wien,Athen,EU"
2000120833582,"Expertenkommission,Coronavirus,Ischgl,Tirol,Tschechien,Wien,Österreich,Niederösterreich,Oberösterreich,Salzburg,Kuchl,BMG,ÖVP,Ronald Rohrer,Sebastian Kurz,Anthony Fauci"
2000118306572,"Corona-Pandemie,Hygienegrundregel,Coronavirus,Verhaltenstipp,Virus,FSME,Österreich,Mallorca,Lombardei,Ischgl,Seoul,Südkorea,Öffi,AA,BMG,Rudolf Anschober,Herwig Kollaritsch,Maria Ecker"
2000125452514,"Virusmutation,Tagesüberblick,Impfstoff,Sputnik,Coronavirus,Neuinfektion,Österreich,Deutschland,Russland,Wien,Italien,AstraZeneca,EU,Bundesrat"
2000125458745,"Maskenpflicht,Zutrittstest,Testmöglichkeit,Gewerkschaftsbund,Einlasskontrolle,Coronavirus,Osterruhe,Österreichischer Gewerkschaftsbund,Ö1,Ingrid Reischl"
2000125460631,"Eintrittstest,Coronavirus,Rückschritt,Pandemie,Virus,Wien,Eisenstadt,Niederösterreich,Burgenland,Österreich,Bundesrat,FPÖ,SPÖ,ÖVP,Pamela Rendi-Wagner,Rudolf Anschober,Hans Peter Doskozil,Michael Ludwig,Günther Platter,Johanna Mikl-Leitner"
2000128070755,"Ampelkommission,Wahrscheinlichkeit,Wiedereinsetzung,Konsortium,Infektionsanstieg,Durchimpfungsrate,Coronavirus,Vollimmunisierung,Wiedereinführung,Österreich,Großbritannien,Wien,APA,ORF,ÖVP,Monika Redlberger-Fritz,Sebastian Kurz"
2000121019357,"Maskenpflicht,Impfung,Coronavirus,Outdoor,Getränke,Ausgangssperre,Tschechien,Slowenien,Wales,Kreuz,Deutschland,Bundesregierung,Gerry Foitik"
2000121028245,"Coronavirus,Personenbeschränkung,Konsumverbot,Outdoor,Regierungsspitze,Videokonferenz,Gastronomie,Europa,Österreich,Salzburg,ÖVP,Sebastian Kurz,Werner Kogler,Rudolf Anschober"
2000122693355,"COVID-19,Hauptausschuss,Testpflicht,Sozialministerium,Freitestungsphase,Österreich,Bundesrat"
2000121095270,"Corona-Pandemie,Pflegeheim,Ampelsystem,Bundesländerübersicht,Leitfaden,Registrierung,SARS-CoV-2,COVID-19,Coronavirus,Heim,Wien,Niederösterreich,Österreich,Burgenland,Oberösterreich,Salzburg,Steiermark,Kärnten,Tirol,Wels,Markus Mattersberger"
2000121106282,"Getränke,Sperrstunde,Maßnahmenpaket,Alkohol,Fußgängerpassage,Coronavirus,Seniorenheim,Paragraf,Gastronomie,ÖVP,Rudolf Anschober,Sebastian Kurz"
2000128221499,"Mückstein,Registrierungspflicht,Coronavirus,Gastronomie,Vollimmunisierung,Österreich,Wien,ÖVP,Johnson & Johnson,EU-Kommission,BMG,Elisabeth Köstinger,Sebastian Kurz,Thomas Szekeres"
2000121161989,"Veranstaltungsverbot,Ampelkommission,Herbstferien,Virus,COVID-19,Österreich,Salzburg,Europa,Burgenland,Brasilien,USA,Indien,Italien,Ungarn,Deutschland,Tschechien,ÖVP,Rudolf Anschober,Daniela Schmid,Wilfried Haslauer"
2000122736430,"Impfbeginn,Tagesüberblick,Neuinfektion,Coronavirus,Schutzschirm,Impfstart,Österreich,ÖVP,BMBF,Elisabeth Köstinger,Andrea Mayer,Sebastian Kurz,Rudolf Anschober"
2000121165556,"Maskenpflicht,Gastronomie,Pandemie,Coronavirus,Outdoor,Getränke,Präventionskonzept,Salzburg,Vorarlberg,Tirol,Wien,Oberösterreich,Niederösterreich"
2000128312219,"Begräbnis,Maskenpflicht,COVID-19,Coronavirus,Verfassungsgerichtshof,Beschwerde,Tirol,Niederösterreich,Kufstein,Schwaz,BMG"
2000122746478,"Maskenpflicht,Verfassungsgerichtshof,Schulgebäude,Klassenteilung,Höchstgericht,Coronavirus,Pandemie,Entscheidungsgrundlage,BMBF,APA"
2000118399621,"Mindestabstand,Besuchsregel,Coronavirus,Pflegeheim,Virus,Corona-Krise,Abstandsregel,Gastronomie,Wien,Österreich,Kanada,Serbien,Australien,Japan,Südkorea,USA,Brasilien,Russland,Öffi,EU,APA,SPÖ,Monika Redlberger-Fritz,Peter Hacker,Rudolf Anschober"
2000122768740,"Impfung,Tagesüberblick,COVID-19,Coronavirus,Österreich,Wien,ÖVP,BMBF,Sebastian Kurz,Elisabeth Köstinger,Andrea Mayer"
2000116189812,"Corona-Pandemie,Ostern,Szenarium,COVID-19,Coronavirus,Wien,Forsch,Österreich,China,Italien,Technisch Universität Wien,Niki Popper,Norbert J. Mauser,J. Mauser"
2000115059032,"Maskenpflicht,Coronavirus,SARS-CoV-2,Mundschutzmaske,Papierprodukt,Ritterrüstung"
2000122789852,"Skigebiet,Auto,Gedrängel,Gastronomie,Getränke,Steiermark,Oberösterreich,Kärnten,Niederösterreich,Damüls,Semmering,Hinterstoder,Vorarlberg,Salzburg,Schladming,Hauser-Kaibling,St. Jakob,Flachau,Bregenzerwald,Ankogel-Mallnitz,Mölltaler Gletscher,Ossiacher See,Polizei,APA,Helmut Holzinger,Erich Egger,Andreas Gapp,Manuel Kapeller-Hopfgartner,Isabella Hinterleitner"
2000121201027,"COVID-19,Coronavirus,Gesundheitsbehörde,Rechtsextremismus,Wien,Polizei,Twitter,Michael Bonvalot"
2000116305030,"Donauinselfest,Coronavirus,Maskenpflicht,Virus,Österreich,Niederösterreich,USA,Homeoffice,Wien,New York,Rumänien,Bulgarien,BMG,Ages Maut System,Sebastian Kurz,Rudolf Anschober,Karl Nehammer"
2000118477021,"Corona-Pandemie,Reproduktionszahl,Neuinfektion,Pflegeheim,COVID-19,Rekordwert,Maskenpflicht,Corona-Krise,Mittagsjournal,Virus,Österreich,England,USA,Linz,Israel,Oberösterreich,Wien,Wien-Liesing,London,Ö1,Polizei,ÖVP,SPÖ,Scotland Yard,Rudolf Anschober,Donald Trump,Klaus Luger,Benjamin Netanjahu,Thomas Stelzer,Greg Abbott,Cressida Dick"
2000116325081,"Ostern,Coronavirus,Freistellung,Risikogruppe,Eindämmung,Maske,ÖVP,Bundesregierung,Polizei,Rudolf Anschober,Sebastian Kurz,Karl Nehammer,Werner Kogler"
2000121243021,"Gartenhütte,Sitzplatz,Coronavirus,COVID-19,Virus,Privatbereich,Oberösterreich,Stadeln,Steiermark,ÖVP,FPÖ,Facebook,Thomas Stelzer,Hermann Schützenhöfer,Manfred Haimbuchner,Rudolf Anschober"
2000116346340,"Ostern,Maskenpflicht,Supermarkt,COVID-19,Coronavirus,Quarantäne,Österreich,Salzburg,Altenmarkt,Zell am See,Saalbach,Tirol,Niederösterreich,Oberösterreich,Wien,Steiermark,Vorarlberg,Kärnten,Burgenland,Ischgl,BMG,Corona,ÖVP,Medizinische Universität Innsbruck,Ages Maut System,Günther Platter,Heinz Faßmann"
2000116371728,"Coronavirus-Pandemie,Maskenpflicht,Testung,Coronavirus,Virus,Gesichtsmaske,Österreich,Italien,Spanien,BMG,Clemens Auer,Clemens Martin Auer,Rudolf Anschober"
2000125971598,"Storchenfeier,Strafhöhe,Geldstrafe,Verwaltungsstrafverfahren,Coronavirus,Steinhaus,Wels-Land,FPÖ,Manfred Haimbuchner"
2000122890413,"Corona-Pandemie,Silvesterabend,Silvesterfeier,Sanktion,Ordnungskraft,Auto,Coronavirus,Frankreich,Rennes,Ille-et-Vilaine,Twitter,AFP,Gerald Darmanin"
2000118515746,"Corona-Pandemie,Coronavirus,Schlachthof,Maskenpflicht,COVID-19,Infizierte,Neuinfektion,Amtsgebäude,Virus,Großbetrieb,SARS-CoV-2,Todesfall,Tirol,Oberösterreich,Österreich,Wels-Land,Braunau,Linz,Jenbach,Ischgl,Großbritannien,Deutschland,Laer,Ried im Innkreis,Nordrhein-Westfalen,Wien,Steiermark,Niederösterreich,Salzburg,Kärnten,Vorarlberg,Burgenland,Linz-Jenbach,Schwaz,Südamerika,USA,Brasilien,Innsbruck,ÖBB,WHO,Sanofi,GSK,ÖVP,Kronen Zeitung,BMG,Innenministerium,Weltgesundheitsorganisation,Universität Innsbruck,Tiroler Tageszeitung,National Institute,Health,Rudolf Anschober,Elisabeth Köstinger,Thomas Stelzer"
2000122902453,"Coronavirus,Weltverschwörung,Protestzug,Maskenpflicht,Rechtsextrem,Wien,Österreich,Graz,Linz,Friedrichstraße,Braunau,Polizei,Bundesregierung,PEGIDA,Georg Immanuel Nagel"
2000118526728,"Coronavirus-Pandemie,Erkrankte,Virus,Risikobereich,Massenscreening,Maskenpflicht,Westbalkanstaat,Corona-Krise,COVID-19,Tausendermarke,Wiedereinführung,Langzeitstudie,Drogen,Österreich,Indien,Oberösterreich,Slowenien,Deutschland,Nordrhein-Westfalen,Gütersloh,Russland,Wien,Innsbruck,Kapfenberg,Vienna,Wels-Land,Braunau,Tirol,Bosnien-Herzegowina,Hofkirchen,Grieskirchen,Kroatien,Italien,Ungarn,Bayern,Bundeswehr,BMG,Fußball-Bundesliga,ÖVP,Bundesheer,Ages Maut System,Ö1,Rudolf Anschober,Pamela Rendi-Wagner,Günter Weiss,Thomas Stelzer,Angela Merkel,Steffen Seibert"
2000128804986,"Infektionsgeschehen,Ausreisetest,Ausreisetestpflicht,Coronavirus,Osttirol,Oberlienz,Tirol,Lienz,Innervillgraten,Corona,Elmar Rizzoli"
2000118548666,"Corona-Pandemie,Maskenpflicht,COVID-19,Dienstleistungsbetrieb,Virus,Quarantäne,Gastronomie,Trauergottesdienst,Corona-Krise,Krise,Oberösterreich,Spanien,USA,Venetien,Europa,Salzburg,Melbourne,Brasilien,Mauthausen,Morzg,Neuseeland,Wien,Madrid,Polizei,UN,Rotes Kreuz,ÖVP,Bundesheer,Ärztekammer,BMF,Anthony Fauci,Thomas Stelzer,Thomas Szekeres,Jair Bolsonaro,Felipe VI.,Luca Zaia,Christoph Matznetter,António Guterres,Carlos Osoro"
2000126212924,"Maskenpflicht,Donaukanal,Hotspot,Tragepflicht,Fahrzeug,Virus,Wien,Stephansplatz,USA,Polizei,CDC,Centers for Disease Control and Prevention"
2000118570582,"Salzburger Festspiele,Grippewelle,Bischofskonferenz,Maskenpflicht,Coronavirus,COVID-19,Ausschreitung,Pflegeheim,Neuinfektion,Krise,Bezirkshauptmannschaft,Reisewarnung,Gastronomie,Belgrad,Velden,Österreich,Afrika,USA,Rumänien,Bulgarien,Moldau,Oberösterreich,Italien,Spanien,Wien,Brasilien,Chile,Salzburg,Luxemburg,Wörthersee,Faaker See,Klopeiner See,Klagenfurt,Sommeer-Ischgl,Kärnten,Westbalkan,Westbalkanländer,Finnland,Novi Sad,Serbien,Novi Pazar,Schweiz,Liechtenstein,APA,WHO,Weltgesundheitsorganisation,Bundesregierung,BMG,ÖVP,Rotes Kreuz,ORF,Polizei,EU,ÖRK,Österreichischer Gewerkschaftsbund,SPÖ,Rudolf Anschober,Pedro Sánchez,Tote Brasilien,Jair Bolsonaro,Aleksandar Vučić,Sebastian Schuschnig,Sebastian Kurz,Ana Brnabić"
2000128993752,"Mückstein,Coronavirus,Gastronomie,Bundesverordnung,Wien,SPÖ,ORF,Ärztekammer,ÖVP,Peter Hacker,Peter Dobcak"
2000118597212,"Corona-Pandemie,Coronavirus-Pandemie,COVID-19,Coronavirus,Todesfall,Leitfaden,Virus,Maskenpflicht,Krise,SARS-CoV-2,Neuinfektion,Corona-Krise,Österreich,Oberösterreich,Brasilien,Krumpendorf,Austria,Tirol,Pörtschach,USA,Salzburg,Balearen,Belgrad,Deutschland,Rumänien,Bulgarien,England,Linz,Wels-Land,Slowenien,Steiermark,Vorarlberg,Niederösterreich,Kärnten,Burgenland,Florida,Kalifornien,Arizona,Dänemark,Norwegen,Mallorca,Balearen-Insel,Spanien,Velden,Klopeiner See,Ljubljana,ÖVP,WHO,Polizei,Reuters,Gilead Sciences,EU-Kommission,Bundesrat,Weltgesundheitsorganisation,Europäische Kommission,Weißes Haus,Twitter,Anthony Fauci,Rudolf Anschober,Sebastian Kurz,Aleksandar Vucic,Karl Nehammer,Donald Trump,Thomas Stelzer,Tobias Thomas,Tedros Adhanom,Kayleigh Mcenany,Marga Frontera,Remdesivir"
2000116569218,"Corona-Pandemie,COVID-19,Maske,Ladenfläche,Coronavirus,Rewe,Lidl,APA,Billa,Bipa,ADEG,Spar Handelsgesellschaft,Caritas,Rotes Kreuz,Marcel Haraszti"
2000116573591,"Ostern,Pfingsten,Bregenzer Festspiele,Geschäftsöffnung,Maskenpflicht,Coronavirus,Gastronomie,Outdoor,Wien,Österreich,ÖVP,Bundesregierung,Fußball-Bundesliga,Werner Kogler,Ulrike Lunacek,Sebastian Kurz,Heinz Faßmann"
2000118659362,"Corona-Pandemie,Coronavirus,Corona-Krise,Generalamnestie,Rekordanstieg,COVID-19,SARS-CoV-2,Steuerhinterziehung,Virus,Ausgangsbeschränkung,Krise,Maskenpflicht,Neuinfektion,Grenzkontrolle,Frankreich,Spanien,Ungarn,Oberösterreich,Mallorca,USA,Serbien,Kärnten,Lleida,Afrika,Südamerika,Indien,Salzburg,Deutschland,Asien,China,Österreich,Katalonien,Wien,Japan,L'hospitalet de Llobregat,Barcelona,Balearen,La Rioja,Navarra,Balearen-Insel,SPÖ,ÖVP,WHO,EU,Polizei,ORF,Reuters,FAZ,APA,La Vanguardia,Innenministerium,Bundesregierung,Weltgesundheitsorganisation,Wilfried Haslauer,Donald Trump,Peter Kaiser,Thomas Stelzer,Christoph Badelt,Gabriel Attal,Ingrid Reischl,Sebastian Kurz,Rudolf Anschober,Robert Klinglmair,Clemens Wendtner,Jörg Leichtfried,Olivier Véran,Gergely Gulya"
2000129157100,"Sicherheitsphase,Maskenpflicht,Inzidenz,Sicherheitsstufe,Schulveranstaltung,Pandemie,Impfstatus,Schulbeginn,Gastronomie,Wien,ÖVP,Heinz Faßmann"
